Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Total Equity Funding Amount,Total Funding Amount
VChain Solutions,https://www.crunchbase.com/organization/vchain-solutions,"Software, Transportation, Education","Austin, Texas, United States",VChain Solutions provides supply chain simulation courses for businesses and colleges.,"36,218",5/23/16,,3/15/15,2,"$800,000 ",Seed,"$800,000 ","$800,000 ","$800,000 "
Shoobilee,https://www.crunchbase.com/organization/shoobilee,"Community and Lifestyle, Clothing and Apparel, Consumer Goods, Design","Los Angeles, California, United States","Unlimited shoes, 1-out at a time, with an affordable monthly price while giving back to the community effortlessly.","29,475",5/20/16,,10/1/16,1,"$210,000 ",Seed,"$210,000 ","$210,000 ","$210,000 "
DontGo,https://www.crunchbase.com/organization/dontgo,"Commerce and Shopping, Information Technology, Software, Internet Services, Messaging and Telecommunications","Troy, Michigan, United States",DontGo's patented technology reinvents Chat by utilizing AI to solve how companies convert their web visitors into customers,"26,895",5/17/16,,5/23/16,1,"$1,400,000 ",Seed,"$1,400,000 ","$1,400,000 ","$1,400,000 "
Sencity,https://www.crunchbase.com/organization/sencity,,"Brooklyn, New York, United States","Sencity designs, owns, and deploys connected infrastructures to make our cities more joyful and livable.","28,661",5/16/16,,3/3/17,1,"$60,000 ",Seed,"$60,000 ","$60,000 ","$60,000 "
SeaBus,https://www.crunchbase.com/organization/seabus-2,"Travel and Tourism, Transportation","Glen Allen, Virginia, United States",Rapid river and sea passenger transportation,"63,266",5/16/16,,4/1/17,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
HiOperator,https://www.crunchbase.com/organization/hioperator,"Science and Engineering, Hardware, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",HiOperstor provides customer support as-a-service.,"27,974",5/12/16,,8/24/16,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
FieldVision,https://www.crunchbase.com/organization/fieldvision,Sports,"New York, New York, United States",Automatically film and stream any sporting event,"35,431",5/12/16,,10/1/16,1,"$200,000 ",Seed,"$200,000 ","$200,000 ","$200,000 "
Presto Media,https://www.crunchbase.com/organization/presto-media,"Media and Entertainment, Sales and Marketing","Philadelphia, Pennsylvania, United States",Content marketplace for sharable and viral content,"26,394",5/10/16,,9/19/16,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
FINBOA,https://www.crunchbase.com/organization/finboa,,"Houston, Texas, United States",Financial Back Office Automation for Business Processes,"43,651",5/9/16,,10/15/16,1,"$50,000 ",Seed,"$50,000 ","$50,000 ","$50,000 "
LVLUP Dojo,https://www.crunchbase.com/organization/lvlup-dojo,"Gaming, Commerce and Shopping, Software, Education, Internet Services","Los Angeles, California, United States",LVLUP Dojo is an eLearning platform that teaches gamers of all levels how to navigate the industry and make a living in eSports.,"25,913",5/7/16,,3/8/16,1,"$185,000 ",Seed,"$185,000 ","$185,000 ","$185,000 "
Nice Shopping Inc.,https://www.crunchbase.com/organization/nice-shopping-inc,"Commerce and Shopping, Media and Entertainment, Internet Services, Video, Mobile","New York, New York, United States",Youtube meets Amazon,"32,144",5/5/16,,5/18/16,1,"$125,000 ",Seed,"$125,000 ","$125,000 ","$125,000 "
CarPortal,https://www.crunchbase.com/organization/carportal,,"Stockton, California, United States","CarPortal helps you buy a great car without the hassle of going to a dealership. We offer online shopping, easy financing and home delivery.","39,526",5/5/16,,1/12/17,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Indiez,https://www.crunchbase.com/organization/indiez,,"Palo Alto, California, United States",Indiez is an intelligent platform that manages an invite-only community of tech & design freelancers. We ship amazing products- guaranteed!,"6,805",5/2/16,,8/23/17,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
datalog.ai,https://www.crunchbase.com/organization/datalog-ai,"Science and Engineering, Travel and Tourism, Media and Entertainment, Data and Analytics, Software, Government and Military, Health Care, Financial Services, Artificial Intelligence","San Francisco, California, United States","Datalog.ai provides a conversational intelligence service for virtual assistants, bots, devices, and corporate applications","5,310",5/1/16,,5/1/16,1,"$3,000,000 ",Seed,"$3,000,000 ","$3,000,000 ","$3,000,000 "
Arraiy,https://www.crunchbase.com/organization/arraiy,"Hardware, Data and Analytics, Software, Artificial Intelligence","Palo Alto, California, United States","A computer vision and machine learning platform for creators, film, AR, VR and game makers.","5,591",5/1/16,,1/17/17,1,"$3,860,000 ",Seed,"$3,860,000 ","$3,860,000 ","$3,860,000 "
United Income,https://www.crunchbase.com/organization/united-income,Financial Services,"Washington, District of Columbia, United States",Our extraordinary team builds elegant money management technology solutions dedicated to bringing our members' retirement dreams to life.,"6,182",5/1/16,,6/28/16,1,"$5,800,000 ",Seed,"$5,800,000 ","$5,800,000 ","$5,800,000 "
Octane AI,https://www.crunchbase.com/organization/octane-ai,"Science and Engineering, Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications, Artificial Intelligence","Tustin, California, United States",Octane AI is the easiest way to create and manage a bot you can use to engage with your audience on Messenger.,"6,189",5/1/16,,11/2/16,1,"$1,500,000 ",Seed,"$1,500,000 ","$1,500,000 ","$1,500,000 "
Clark,https://www.crunchbase.com/organization/clark-3,"Apps, Software, Professional Services, Education, Mobile","New York, New York, United States",Clark is a virtual assistant for independent educators,"7,518",5/1/16,,6/27/17,3,"$2,500,000 ",Seed,"$2,500,000 ","$3,500,000 ","$3,500,000 "
Work Today,https://www.crunchbase.com/organization/work-today,"Commerce and Shopping, Software, Administrative Services, Professional Services","Santa Monica, California, United States",World's largest labor marketplace for blue-collar workers,"8,849",5/1/16,,4/28/17,1,"$1,100,000 ",Seed,"$1,100,000 ","$1,100,000 ","$1,100,000 "
BotCentral,https://www.crunchbase.com/organization/botcentral,"Science and Engineering, Hardware, Commerce and Shopping, Data and Analytics, Software, Artificial Intelligence","Mountain View, California, United States","Platform that enables brands to build intelligent, conversation chatbots. Focus on practical bots with a specific purpose.","10,504",5/1/16,,5/1/16,1,"$3,000,000 ",Seed,"$3,000,000 ","$3,000,000 ","$3,000,000 "
"Cien, Inc.",https://www.crunchbase.com/organization/cien-inc,Software,"Miami Beach, Florida, United States",Measure what Matters - AI Enabled App for Sales Productivity,"10,567",5/1/16,,2/2/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Patch Homes,https://www.crunchbase.com/organization/patch-homes-2,,"San Francisco, California, United States",Unlocking home equity wealth for consumers without any interest or monthly payments,"11,540",5/1/16,,4/25/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Sayspring,https://www.crunchbase.com/organization/sayspring,"Software, Design","New York, New York, United States",Sayspring enables designers to create voice-enabled apps without code ahead of handing over projects to development.,"12,435",5/1/16,,5/22/17,2,"$1,500,000 ",Seed,"$1,500,000 ","$1,600,000 ","$1,600,000 "
Wonderschool,https://www.crunchbase.com/organization/wonderschool,"Community and Lifestyle, Health Care, Education","San Francisco, California, United States",Wonderschool offers a platform where people can start infant and toddler programs and preschools out of their homes.,"13,334",5/1/16,,6/19/17,1,"$2,000,000 ",Seed,"$2,000,000 ","$2,000,000 ","$2,000,000 "
Radar,https://www.crunchbase.com/organization/radar-3,"Apps, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","New York, New York, United States","Radar is the location platform for mobile apps. We help companies collect, analyze, and act on location data.","18,615",5/1/16,,6/7/16,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
HealthWiz,https://www.crunchbase.com/organization/healthwiz,"Health Care, Mobile","New York, New York, United States",HealthWiz is a SaaS platform for lowering healthcare costs by healthcare changing behavior.,"25,226",5/1/16,,7/1/17,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
EventGeek,https://www.crunchbase.com/organization/eventgeek,"Media and Entertainment, Events, Sales and Marketing","San Francisco, California, United States","EventGeek is the ultimate event management platform, with project management and ROI tracking for hosts and sponsors.","29,134",5/1/16,,8/24/16,1,"$120,000 ",Seed,"$120,000 ","$120,000 ","$120,000 "
Soundways,https://www.crunchbase.com/organization/soundways,"Manufacturing, Media and Entertainment, Music and Audio","Memphis, Tennessee, United States",Innovative Software Solutions for Sound Engineers and Audio Device Manufacturers,"45,074",5/1/16,,10/1/16,2,"$256,000 ",Seed,"$256,000 ","$281,000 ","$281,000 "
ParqMi,https://www.crunchbase.com/organization/parqmi,,"New York, New York, United States",ParqMi is the future of parking. We provide real time parking information to make parking better.,"50,287",5/1/16,,5/1/16,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Upcall,https://www.crunchbase.com/organization/upcall,"Hardware, Sales and Marketing","San Francisco, California, United States",Upcall is a human powered outbound sales & marketing calling platform.,"58,702",5/1/16,,4/7/17,1,"$2,200,000 ",Seed,"$2,200,000 ","$2,200,000 ","$2,200,000 "
YodelTalk,https://www.crunchbase.com/organization/yodeltalk,"Hardware, Mobile","San Francisco, California, United States",Yodel is the smart cloud based business phone solution that seamlessly integrates with teams and workflows.,"78,202",5/1/16,,6/1/17,1,"â‚¬500,000",Seed,"â‚¬500,000","$560,538 ","$560,538 "
"SteadyFare, Inc",https://www.crunchbase.com/organization/steadyfare-inc,Transportation,"Grand Rapids, Michigan, United States",SteadyFare is the latest ride-share service that does not surge and every ride helps end child hunger.,"35,730",4/29/16,,4/29/16,1,"$700,000 ",Seed,"$700,000 ","$700,000 ","$700,000 "
RavenOps,https://www.crunchbase.com/organization/raven-ops,,"San Francisco, California, United States",RavenOps develops swarming robotics for industrial applications.,"26,184",4/28/16,,10/17/16,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
Marketero,https://www.crunchbase.com/organization/marketero,"Information Technology, Software, Sales and Marketing","Delaware, Ohio, United States",Sales and Marketing Software for Small business,"47,200",4/28/16,,7/10/16,1,"$30,000 ",Seed,"$30,000 ","$30,000 ","$30,000 "
OneKloud,https://www.crunchbase.com/organization/onekloud-2,"Commerce and Shopping, Information Technology, Software, Internet Services","San Francisco, California, United States",OneKloud is a cloud control platform for stopping Amazon Web Services (AWS) overspending before it happens.,"18,502",4/26/16,,6/28/17,2,"$1,000,000 ",Seed,"$1,000,000 ","$1,250,000 ","$1,250,000 "
Savesta.com,https://www.crunchbase.com/organization/savesta-com,"Hardware, Commerce and Shopping, Software","Bellevue, Washington, United States",Savesta.com is an early stage startup focused on conversational commerce.,"50,215",4/22/16,,5/9/16,1,"$25,000 ",Seed,"$25,000 ","$25,000 ","$25,000 "
Factury,https://www.crunchbase.com/organization/factury,"Financial Services, Lending and Investments","San Mateo, California, United States",Blockchain-Powered Secondary Market for Loans Originated by Non-Bank Lenders,"43,568",4/21/16,,4/21/16,1,"$20,000 ",Seed,"$20,000 ","$20,000 ","$20,000 "
Inview Ads,https://www.crunchbase.com/organization/inview-ads,"Sales and Marketing, Advertising","San Francisco, California, United States",Ads in Uber and Lyft. Imagine if your ad was in ubers across the city.,"40,477",4/20/16,,5/2/16,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
ScriptDrop,https://www.crunchbase.com/organization/scriptdrop,Health Care,"Nashville, Tennessee, United States",ScriptDrop is a prescription delivery and medication reminder service.,"4,820",4/18/16,,8/4/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
"LunchBadger, Inc.",https://www.crunchbase.com/organization/lunchbadger-inc,"Hardware, Information Technology, Software, Internet Services","San Francisco, California, United States","LunchBadger helps you visualize, build, manage and orchestrate micro services and APIs to repeatedly reduce time to value..","8,180",4/18/16,,7/13/17,2,"$1,500,000 ",Seed,"$1,500,000 ","$1,500,000 ","$1,500,000 "
"Camel Life, Inc.",https://www.crunchbase.com/organization/camel-life-inc,,"Florida, United States, North America","Camel Life, Inc. a US based network marketing company which manufactures personal care and nutraceutical products with pure camel milk.","27,397",4/18/16,,1/7/17,1,"$250,000 ",Seed,"$250,000 ","$250,000 ","$250,000 "
VeeMed Inc.,https://www.crunchbase.com/organization/veemed-inc,,"Sacramento, California, United States",VeeMed Inc. is a Virtual Healthcare Technology and Services company specializing in advanced Telemedicine and Virtual Healthcare services.,"33,880",4/15/16,,9/15/16,1,"$500,000 ",Seed,"$500,000 ","$500,000 ","$500,000 "
bitgab,https://www.crunchbase.com/organization/bitgab,"Software, Education, Internet Services","Newark, New Jersey, United States",bitgab operates as a language-learning platform that allows its users to learn many languages from across the world.,"39,687",4/15/16,,7/18/16,1,"$150,000 ",Seed,"$150,000 ","$150,000 ","$150,000 "
SUNSTATION USA,https://www.crunchbase.com/organization/sunstation-usa,"Biotechnology, Science and Engineering, Health Care, Consumer Goods","St Louis, Missouri, United States",SUNSTATION USA is your community's #1 resource for sunscreen dispensers,"41,302",4/15/16,,9/20/16,1,"$100,000 ",Seed,"$100,000 ","$100,000 ","$100,000 "
Bambu Tech Inc.,https://www.crunchbase.com/organization/bambu-tech-inc,"Media and Entertainment, Music and Audio, Software","Calabasas, California, United States",Bambu Tech offers audio processing technology that brings better-than-broadcast quality to any digital file or stream on any device.,"45,661",4/15/16,,5/10/17,3,"$600,000 ",Seed,"$600,000 ","$1,500,000 ","$1,500,000 "
Companion Inc,https://www.crunchbase.com/organization/companion-inc,"Software, Government and Military","New York, New York, United States",Mobile-first personal security solution,"22,767",4/12/16,,6/7/17,1,"$1,000,000 ",Seed,"$1,000,000 ","$1,000,000 ","$1,000,000 "
